원단구분,용도,혼용율,구성원사/번수,밀도,조직,후가공,상품명,단위면적당 무게,두께
WOVEN,Active,NYLON 100%,"N20D 1WAY SPAN, 경사: N20D/24F FD DTY 위사: REGEN20.20 F.Y FD+PU20D",,,,Shan-680RE,5.657,0.18
WOVEN,Active,POLYESTER 100%,,,2/1 TWILL(左方向),,528128,6.313,0.12
WOVEN,Top,NYLON 100%,,,,,COSE-AJ-0153,7.071,0.23
WOVEN,Outer," NYLON 66%, POLYESTER 34%",,,PLAIN,MELANGE,678059,7.727,0.15
WOVEN,Top,NYLON 100%,,,,,COTTY-0728WD,8.889,0.25
WOVEN,Top,NYLON 100%,,,,,FINA-PS131BS,8.99,0.23
WOVEN,Outer,NYLON 100%,,,,,678171,8.737,0.21
WOVEN,Outer,"COTTON 54%, NYLON 23%, POLYESTER 23%",,,,"PEACH, WR, PU, OIL, WS",AD-1131 QW,12.879,0.28
WOVEN,Outer,POLYESTER 100%,,,,TRANS PAPER PRINTED(전사 날염),TPR-1134,13.131,0.25
WOVEN,Outer,POLYESTER 100%,,,,"PD, ANTISTATIC(대전방지가공)",EL FRESH SOFT PL,13.182,0.36
WOVEN,Outer,,경사: N140D SD DTY+PU40D 위사: N280D SD DTY+PU40D,,PLAIN,PU,HS-S2301P,11.97,0.29
WOVEN,Outer,"COTTON 61%, NYLON 39%",,,,"PU, BIO, WS",AE-5539 UBO,19.091,0.39
WOVEN,Outer,POLYESTER 100%,,,,,ZENI-54S,20.707,0.34
WOVEN,Outer,"RAYON 60%, POLYESTER 36%, POLYURETHANE 4%",,,,,MISTY-CY-0137,23.586,0.44
WOVEN,Outer,,"N140D 2WAY SPAN, 경사: N140D SD DTY+PU40D 위사: N280D SD DTY+PU40D",,PLAIN,WR,HS-1713,22.172,0.46
WOVEN,Outer,"POLYESTER 62%, COTTON 35%, POLYURETHANE 3%",,,,"PD, WR, MEMORY, STRETCH",AG-3301,24.091,0.43
WOVEN,Outer,NYLON 100%,,,,"PD, WR, AW/NATURAL/GARMENT-WASHED EFFECTIVE COTTON-LIKE HAND FEEL",COTTY-AJ-0157FA,25.354,0.54
WOVEN,Outer,NYLON 100%,,,,,#9110 UTD,25.505,0.44
WOVEN,Outer,"ACETATE 74%, NYLON 23%, POLYURETHANE 3%",,,,,D0766,22.929,0.47
WOVEN,Outer,"ACETATE 60%, POLYESTER 40%",,,,,TD0029,33.283,0.84
WOVEN,Top," VISCOSE RAYON 52%, ACETATE 48%",,,,,D0759,26.818,0.66
WOVEN,Outer,"ACETATE 60%, POLYESTER 40%",,,,,D0807,26.97,0.69
WOVEN,Outer,NYLON 100%,N20D(400T),,PLAIN,,SFT-WKL-001-024,4.04,0.09
WOVEN,Outer,"ACETATE 67%, POLYESTER 33%",,,,,578227,34.798,0.74
WOVEN,Outer," POLYESTER 59%, NYLON 41%",,,,"W/R, HYPER-CHINTZ(친즈가공)",KKB-1130HZ,4.495,0.06
WOVEN,Outer,"F: POLYESTER 100%, B: POLYESTER 62%, COTTON 33%, POLYURETHANE 5%",,,,3 LAYER BREATHABLE,INOSPO/HYDRO3L01151,37.374,1.05
WOVEN,Outer,"CUPRA 49%, COTTON 48%, POLYURETHANE 3%",,,,,SJ-1056,14.444,0.33
WOVEN,Outer,LYOCELL 100%,,,,,SJ-470/A,21.01,0.45
WOVEN,Outer,"POLYESTER 48%, COTTON 40%, NYLON 12%",,,,PIGMENT VINTAGE,GG093PGBW,16.364,0.33
WOVEN,Outer,"POLYESTER 57%, COTTON 29%, NYLON 14%",,,,PD/WR,J-C4016,20.455,0.4
WOVEN,Outer,"POLYESTER 86%, COTTON 14%",,,,"PD,WR, SINGEING",S-C3018,17.222,0.35
WOVEN,Outer,NYLON 100%,,,,DOWNPROOF (IDFL20-1)& DULL,KP-218KP(XP),3.737,0.07
WOVEN,Outer,NYLON 100%,,,,"X-PROOF (DOWNPROOF, EN12132-1)& DULL FACE",PAPI-7604XP,3.889,0.08
WOVEN,Outer,NYLON 100%,,,,,ATTIVO-703,5.152,0.07
WOVEN,Outer,"COTTON 59%, NYLON 4%",,,,"PD, WR, CT(PS), W(B)",M-C3040PB,14.394,0.29
WOVEN,Outer,"COTTON 52%, POLYESTER 22%, WOOL 18%, NYLON 5%, RAYON 3%",,,,,DSS-16,23.333,0.72
WOVEN,Outer,"COTTON 76%, NYLON 21%, POLYURETHANE 3%",,,,,CREAMS,9.293,0.23
WOVEN,Outer,"POLYESTER 55%, SILK 45%",,,,,F/W 4097A,8.333,0.22
WOVEN,Outer,"POLYESTER 95%, POLYURETHANE 5%",,,,"PD, WR",SD84373(SD),31.01,0.86
WOVEN,Outer,"NYLON 86%, POLYURETHANE 14%",,,,"PD, WR",ST12363B,25.152,0.55
WOVEN,Outer,"F: POLYURETHANE 100%, B: HDPE 100%",,,,,TYVEK-UM29,8.586,0.26
WOVEN,Outer,POLYESTER 100%,P/P75D(1450T/M),,PLAIN,,BPT-427HZ,12.879,0.24
WOVEN,Outer,"POLYESTER 83%, NYLON 17%",NP/P75D,,PLAIN,MEMORY,BPT-846,12.727,0.23
WOVEN,Outer,POLYESTER 100%,,,PLAIN,,BBS-033,15.808,0.26
WOVEN,Outer,"COTTON 75%, NYLON 25%",,,,SMART WAX,YCN317-42,17.879,0.36
WOVEN,Outer," COTTON 64%, NYLON 36%",,,,,YNC202-2(A/W),15.707,0.34
WOVEN,Outer,COTTON 100%,,,,,YC606-32,18.333,0.44
WOVEN,Outer,"NYLON 52%, COTTON 43%, POLYURETHANE 5%",,,,"PD, WR",SP14016,13.687,0.36
WOVEN,Outer,SILK 100%,,,,,F/W 4072,7.576,0.21
WOVEN,Outer,"POLYESTER 84%, SILK 16%",,,,,프랑스 장미 자카드,16.212,0.51
