원단구분,용도,혼용율,구성원사/번수,밀도,조직,후가공,상품명,단위면적당 무게,두께,경사 스트레치 강도,위사 스트레치 강도,바이어스 스트레치 강도
WOVEN,Active,NYLON 100%,"N20D 1WAY SPAN, 경사: N20D/24F FD DTY 위사: REGEN20.20 F.Y FD+PU20D",,,,Shan-680RE,5.657,0.18,"[['5', '0.028'], ['10', '0.055'], ['15', '0.086'], ['20', '0.125'], ['30', '0.2'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.2'], ['10', '0.95'], ['15', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.015'], ['10', '0.02'], ['15', '0.056'], ['20', '0.09'], ['30', '0.147'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Active,POLYESTER 100%,,,2/1 TWILL(左方向),,528128,6.313,0.12,"[['5', '0.63'], ['10', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['4', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.027'], ['10', '0.062'], ['15', '0.122'], ['20', '0.18'], ['30', '0.45'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Top,NYLON 100%,,,,,COSE-AJ-0153,7.071,0.23,"[['5', '0.354'], ['10', '0.95'], ['15', '1.664'], ['20', '2.054'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.71'], ['10', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.072'], ['10', '0.19'], ['15', '0.326'], ['20', '0.59'], ['30', '1.34'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer," NYLON 66%, POLYESTER 34%",,,PLAIN,MELANGE,678059,7.727,0.15,"[['5', '0.91'], ['9', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '1.42'], ['6', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.06'], ['10', '0.105'], ['15', '0.113'], ['20', '0.284'], ['30', '0.71'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Top,NYLON 100%,,,,,COTTY-0728WD,8.889,0.25,"[['5', '0.368'], ['10', '1.06'], ['15', '1.81'], ['17', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.65'], ['10', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.171'], ['10', '0.491'], ['15', '0.891'], ['20', '1.44'], ['28', '2.05'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Top,NYLON 100%,,,,,FINA-PS131BS,8.99,0.23,"[['5', '0.525'], ['10', '1.36'], ['15', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '1.56'], ['7.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.105'], ['10', '0.225'], ['15', '0.412'], ['20', '0.71'], ['30', '1.56'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,NYLON 100%,,,,,678171,8.737,0.21,"[['5', '1.363'], ['9', '2.08'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '1.6'], ['8', '2.054'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.189'], ['10', '0.384'], ['15', '0.571'], ['20', '0.887'], ['30', '1.606'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"COTTON 54%, NYLON 23%, POLYESTER 23%",,,,"PEACH, WR, PU, OIL, WS",AD-1131 QW,12.879,0.28,"[['4', '2.054'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.304'], ['10', '0.913'], ['15', '2.013'], ['16', '2.054'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.136'], ['10', '0.268'], ['15', '0.422'], ['20', '0.635'], ['30', '1.263'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,POLYESTER 100%,,,,TRANS PAPER PRINTED(전사 날염),TPR-1134,13.131,0.25,"[['5', '1.9'], ['5.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['4.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.065'], ['10', '0.166'], ['15', '0.3'], ['20', '0.52'], ['30', '1.33'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,POLYESTER 100%,,,,"PD, ANTISTATIC(대전방지가공)",EL FRESH SOFT PL,13.182,0.36,"[['5', '0.07'], ['10', '0.162'], ['15', '0.273'], ['20', '0.384'], ['30', '0.693'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.67'], ['9', '2.002'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.015'], ['10', '0.037'], ['15', '0.067'], ['20', '0.1'], ['30', '0.2'], ['0', '0'], ['0', '0'], ['0', '0']]"
